study_id,author,year,verify_status,candidate_doi,oa_doi_returned,oa_title_returned,oa_author_returned,apa_title,search_openalex_web,search_openalex_api,search_scholar,correct_doi,decision,notes
S111,Daniels & Bracker,1989,doi_mismatch_check,10.1017/mor.2020.39,10.1017/mor.2020.39,Performance Effects of Internationalization: Contingency Theory Analysis of Russian Internationalized Firms,Desislava Dikova,Performance effects of internationalization: Contingency theory analysis of Russian internationalized firms,"https://openalex.org/works?filter=default.search:Performance%20effects%20of%20internationalization:%20Contingency%20theory%20analysis%20of%20Russian%20internationalized%20firms,publication_year:1989","https://api.openalex.org/works?filter=title.search:Performance%20effects%20of%20internationalization%3A%20Contingency%20theory%20analysis%20of%20Russian%20internationalized%20firms,publication_year:1989&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Performance+effects+of+internationalization%3A+Contingency+theory+analysis+of+Russian+internationalized+firms+1989,,,
S112,"Geringer, Beamish & daCosta",1989,doi_mismatch_check,10.2991/aebmr.k.200127.085,10.2991/aebmr.k.200127.085,Interdependence Relationship of Internationalization—Performance in Manufacturing Firms Listed in Indonesia Stock Exchange and Chinese Stock Exchanges,L. Huang,Interdependence relationship of internationalization-performance in manufacturing firms listed in Indonesia Stock Exchange and Chinese Stock Exchanges. In,"https://openalex.org/works?filter=default.search:Interdependence%20relationship%20of%20internationalization-performance%20in%20manufacturing%20firms%20listed%20in%20Indonesia%20Stock%20Exchange%20and%20Chinese%20Stock%20Exchanges.%20In,publication_year:1989","https://api.openalex.org/works?filter=title.search:Interdependence%20relationship%20of%20internationalization-performance%20in%20manufacturing%20firms%20listed%20in%20Indonesia%20Stock%20Exchange%20and%20Chinese%20Stock%20Exchanges.%20In,publication_year:1989&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Interdependence+relationship+of+internationalization-performance+in+manufacturing+firms+listed+in+Indonesia+Stock+Exchange+and+Chinese+Stock+Exchanges.+In+1989,,,
S113,"Kim, Hwang & Burgers",1993,doi_mismatch_check,10.1108/cr-03-2019-0028,10.1108/cr-03-2019-0028,Internationalization and performance of small and medium-sized enterprises from emerging economies,Eva Cristina Manotas,Internationalization and performance of small and medium-sized enterprises from emerging economies,"https://openalex.org/works?filter=default.search:Internationalization%20and%20performance%20of%20small%20and%20medium-sized%20enterprises%20from%20emerging%20economies,publication_year:1993","https://api.openalex.org/works?filter=title.search:Internationalization%20and%20performance%20of%20small%20and%20medium-sized%20enterprises%20from%20emerging%20economies,publication_year:1993&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalization+and+performance+of+small+and+medium-sized+enterprises+from+emerging+economies+1993,,,
S114,Sullivan,1994,doi_mismatch_check,10.5267/j.dsl.2020.7.001,10.5267/j.dsl.2020.7.001,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,Anh Tu Phan,The existence of W-shaped relationship between internationalization and firm performance: An empirical study of enterprises in Cameroon,"https://openalex.org/works?filter=default.search:The%20existence%20of%20W-shaped%20relationship%20between%20internationalization%20and%20firm%20performance:%20An%20empirical%20study%20of%20enterprises%20in%20Cameroon,publication_year:1994","https://api.openalex.org/works?filter=title.search:The%20existence%20of%20W-shaped%20relationship%20between%20internationalization%20and%20firm%20performance%3A%20An%20empirical%20study%20of%20enterprises%20in%20Cameroon,publication_year:1994&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+existence+of+W-shaped+relationship+between+internationalization+and+firm+performance%3A+An+empirical+study+of+enterprises+in+Cameroon+1994,,,
S115,Ramaswamy,1995,doi_mismatch_check,10.1061/(asce)me.1943-5479.0000736,10.1061/(asce)me.1943-5479.0000736,Relationship between Internationalization and Financial Performance: Evidence from ENR-Listed Chinese Firms,Ge Wang,Relationship between internationalization and financial performance: Evidence from ENR-listed Chinese firms,"https://openalex.org/works?filter=default.search:Relationship%20between%20internationalization%20and%20financial%20performance:%20Evidence%20from%20ENR-listed%20Chinese%20firms,publication_year:1995","https://api.openalex.org/works?filter=title.search:Relationship%20between%20internationalization%20and%20financial%20performance%3A%20Evidence%20from%20ENR-listed%20Chinese%20firms,publication_year:1995&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Relationship+between+internationalization+and+financial+performance%3A+Evidence+from+ENR-listed+Chinese+firms+1995,,,
S116,Delios & Beamish,1999,doi_mismatch_check,10.15678/eber.2021.090206,10.15678/eber.2021.090206,Internationalisation motives and the multinationality-performance relationship: The case of Polish firms,Krystian Barłożewski,Internationalisation motives and the multinationality-performance relationship: The case of Polish firms,"https://openalex.org/works?filter=default.search:Internationalisation%20motives%20and%20the%20multinationality-performance%20relationship:%20The%20case%20of%20Polish%20firms,publication_year:1999","https://api.openalex.org/works?filter=title.search:Internationalisation%20motives%20and%20the%20multinationality-performance%20relationship%3A%20The%20case%20of%20Polish%20firms,publication_year:1999&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalisation+motives+and+the+multinationality-performance+relationship%3A+The+case+of+Polish+firms+1999,,,
S117,Lu & Beamish,2001,doi_mismatch_check,10.24136/oc.2021.003,10.24136/oc.2021.003,"Is internationalisation beneficial for novice internationalisers? The performance effects of firm-specific advantages, internationalisation degree and firm size revisited",Krystian Barłożewski,"Is internationalisation beneficial for novice internationalisers? The performance effects of firm-specific advantages, internationalisation degree and firm size revisited","https://openalex.org/works?filter=default.search:Is%20internationalisation%20beneficial%20for%20novice%20internationalisers%3F%20The%20performance%20effects%20of%20firm-specific%20advantages,%20internationalisation%20degree%20and%20firm%20size%20revisited,publication_year:2001","https://api.openalex.org/works?filter=title.search:Is%20internationalisation%20beneficial%20for%20novice%20internationalisers%3F%20The%20performance%20effects%20of%20firm-specific%20advantages%2C%20internationalisation%20degree%20and%20firm%20size%20revisited,publication_year:2001&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Is+internationalisation+beneficial+for+novice+internationalisers%3F+The+performance+effects+of+firm-specific+advantages%2C+internationalisation+degree+and+firm+size+revisited+2001,,,
S118,"Contractor, Kundu & Hsu",2003,doi_mismatch_check,10.1111/1467-8551.12560,10.1111/1467-8551.12560,The Degree of Internationalization and Firm Productivity: Empirical Evidence from Large Multinationals,Efthymios G. Tsionas,The degree of internationalization and firm productivity: Empirical evidence from large multinationals,"https://openalex.org/works?filter=default.search:The%20degree%20of%20internationalization%20and%20firm%20productivity:%20Empirical%20evidence%20from%20large%20multinationals,publication_year:2003","https://api.openalex.org/works?filter=title.search:The%20degree%20of%20internationalization%20and%20firm%20productivity%3A%20Empirical%20evidence%20from%20large%20multinationals,publication_year:2003&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+degree+of+internationalization+and+firm+productivity%3A+Empirical+evidence+from+large+multinationals+2003,,,
S119,"Bloodgood, Sapienza & Almeida",1996,doi_mismatch_check,10.1155/2021/5528972,10.1155/2021/5528972,The Relationship between Extent of Internationalization and Firm Performance (Taiwan 1992–2017),Shih-Yung Wei,The relationship between extent of internationalization and firm performance (Taiwan 1992–2017),"https://openalex.org/works?filter=default.search:The%20relationship%20between%20extent%20of%20internationalization%20and%20firm%20performance%20%28Taiwan%201992%E2%80%932017%29,publication_year:1996","https://api.openalex.org/works?filter=title.search:The%20relationship%20between%20extent%20of%20internationalization%20and%20firm%20performance%20%28Taiwan%201992%E2%80%932017%29,publication_year:1996&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+relationship+between+extent+of+internationalization+and+firm+performance+%28Taiwan+1992%E2%80%932017%29+1996,,,
S120,Pangarkar & Yuan,2009,doi_mismatch_check,10.1371/journal.pone.0263674,10.1371/journal.pone.0263674,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from china,Xin Cao,The dual mechanism of social networks on the relationship between internationalization and firm performance: Empirical evidence from China,"https://openalex.org/works?filter=default.search:The%20dual%20mechanism%20of%20social%20networks%20on%20the%20relationship%20between%20internationalization%20and%20firm%20performance:%20Empirical%20evidence%20from%20China,publication_year:2009","https://api.openalex.org/works?filter=title.search:The%20dual%20mechanism%20of%20social%20networks%20on%20the%20relationship%20between%20internationalization%20and%20firm%20performance%3A%20Empirical%20evidence%20from%20China,publication_year:2009&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=The+dual+mechanism+of+social+networks+on+the+relationship+between+internationalization+and+firm+performance%3A+Empirical+evidence+from+China+2009,,,
S121,"Gaur, Kumar & Singh",2014,doi_mismatch_check,10.1007/s11575-022-00464-3,10.1007/s11575-022-00464-3,Turning the Tables: The Relationship Between Performance and Multinationality,Alice Schmuck,Turning the tables: The relationship between performance and multinationality,"https://openalex.org/works?filter=default.search:Turning%20the%20tables:%20The%20relationship%20between%20performance%20and%20multinationality,publication_year:2014","https://api.openalex.org/works?filter=title.search:Turning%20the%20tables%3A%20The%20relationship%20between%20performance%20and%20multinationality,publication_year:2014&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Turning+the+tables%3A+The+relationship+between+performance+and+multinationality+2014,,,
S122,Luo & Tung,2015,doi_mismatch_check,10.2307/1556420,10.2307/1556420,"INTERNATIONAL EXPANSION BY NEW VENTURE FIRMS: INTERNATIONAL DIVERSITY, MODE OF MARKET ENTRY, TECHNOLOGICAL LEARNING, AND PERFORMANCE.",Shaker A. Zahra,How new ventures exploit trade-offs among international risk factors: Lessons for the accelerated internationalization of the 21st century,"https://openalex.org/works?filter=default.search:How%20new%20ventures%20exploit%20trade-offs%20among%20international%20risk%20factors:%20Lessons%20for%20the%20accelerated%20internationalization%20of%20the%2021st%20century,publication_year:2015","https://api.openalex.org/works?filter=title.search:How%20new%20ventures%20exploit%20trade-offs%20among%20international%20risk%20factors%3A%20Lessons%20for%20the%20accelerated%20internationalization%20of%20the%2021st%20century,publication_year:2015&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=How+new+ventures+exploit+trade-offs+among+international+risk+factors%3A+Lessons+for+the+accelerated+internationalization+of+the+21st+century+2015,,,
S124,"Klier, Schwens, Zapkau & Dikova",2017,doi_mismatch_check,10.2307/1556406,10.2307/1556406,MANAGERIAL TIES AND FIRM PERFORMANCE IN A TRANSITION ECONOMY: THE NATURE OF A MICRO-MACRO LINK.,Mike W. Peng,Managerial ties and firm performance in a transition economy: The nature of a micro-macro link,"https://openalex.org/works?filter=default.search:Managerial%20ties%20and%20firm%20performance%20in%20a%20transition%20economy:%20The%20nature%20of%20a%20micro-macro%20link,publication_year:2017","https://api.openalex.org/works?filter=title.search:Managerial%20ties%20and%20firm%20performance%20in%20a%20transition%20economy%3A%20The%20nature%20of%20a%20micro-macro%20link,publication_year:2017&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Managerial+ties+and+firm+performance+in+a+transition+economy%3A+The+nature+of+a+micro-macro+link+2017,,,
S125,Arte & Larimo,2022,doi_mismatch_check,10.1016/j.jwb.2006.08.004,10.1016/j.jwb.2006.08.004,"Cultural tendencies in negotiation: A comparison of Finland, India, Mexico, Turkey, and the United States",Lynn E. Metcalf,"Speed of internationalization and entrepreneurial cognition: Insights and a comparison between international new ventures, exporters and domestic firms","https://openalex.org/works?filter=default.search:Speed%20of%20internationalization%20and%20entrepreneurial%20cognition:%20Insights%20and%20a%20comparison%20between%20international%20new%20ventures,%20exporters%20and%20domestic%20firms,publication_year:2022","https://api.openalex.org/works?filter=title.search:Speed%20of%20internationalization%20and%20entrepreneurial%20cognition%3A%20Insights%20and%20a%20comparison%20between%20international%20new%20ventures%2C%20exporters%20and%20domestic%20firms,publication_year:2022&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Speed+of+internationalization+and+entrepreneurial+cognition%3A+Insights+and+a+comparison+between+international+new+ventures%2C+exporters+and+domestic+firms+2022,,,
S126,"Schmuck, Lagerström & Sallis",2022,doi_mismatch_check,10.1111/1540-8520.271003,10.1111/1540-8520.271003,Entry Mode Choice of SMEs in Central and Eastern Europe,George Nakos,Foreign sales and small firm growth: The moderating role of the management team,"https://openalex.org/works?filter=default.search:Foreign%20sales%20and%20small%20firm%20growth:%20The%20moderating%20role%20of%20the%20management%20team,publication_year:2022","https://api.openalex.org/works?filter=title.search:Foreign%20sales%20and%20small%20firm%20growth%3A%20The%20moderating%20role%20of%20the%20management%20team,publication_year:2022&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Foreign+sales+and+small+firm+growth%3A+The+moderating+role+of+the+management+team+2022,,,
S127,"Bhandari, Zámborský, Ranta & Salo",2023,doi_mismatch_check,10.1016/j.ibusrev.2010.02.003,10.1016/j.ibusrev.2010.02.003,Toward a model of the relationship between internationalization and export performance,Nicolas Papadopoulos,Toward a model of the relationship between internationalization and export performance,"https://openalex.org/works?filter=default.search:Toward%20a%20model%20of%20the%20relationship%20between%20internationalization%20and%20export%20performance,publication_year:2023","https://api.openalex.org/works?filter=title.search:Toward%20a%20model%20of%20the%20relationship%20between%20internationalization%20and%20export%20performance,publication_year:2023&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Toward+a+model+of+the+relationship+between+internationalization+and+export+performance+2023,,,
S129,"Freixanet, Renart & Segarra-Blasco",2022,doi_mismatch_check,10.3390/jrfm12030144,10.3390/jrfm12030144,"Internationalization, Strategic Slack Resources, and Firm Performance: The Case Study of Vietnamese Enterprises",Phuong V. Nguyen,"Internationalization, strategic slack resources, and firm performance","https://openalex.org/works?filter=default.search:Internationalization,%20strategic%20slack%20resources,%20and%20firm%20performance,publication_year:2022","https://api.openalex.org/works?filter=title.search:Internationalization%2C%20strategic%20slack%20resources%2C%20and%20firm%20performance,publication_year:2022&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalization%2C+strategic+slack+resources%2C+and+firm+performance+2022,,,
S130,"Shin, Kim & Seol",2022,doi_mismatch_check,10.1080/00472778.2021.1955124,10.1080/00472778.2021.1955124,Capabilities and Performance of Early Internationalizing Firms: A Systematic Literature Review,Shuijing Jie,Capabilities and performance of early internationalizing firms,"https://openalex.org/works?filter=default.search:Capabilities%20and%20performance%20of%20early%20internationalizing%20firms,publication_year:2022","https://api.openalex.org/works?filter=title.search:Capabilities%20and%20performance%20of%20early%20internationalizing%20firms,publication_year:2022&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Capabilities+and+performance+of+early+internationalizing+firms+2022,,,
S131,Dobbs & Hamilton,2007,doi_mismatch_check,10.1016/j.gfj.2022.100753,10.1016/j.gfj.2022.100753,Internationalization and firm performance,Napaporn Likitwongkajon,Internationalization and firm performance,"https://openalex.org/works?filter=default.search:Internationalization%20and%20firm%20performance,publication_year:2007","https://api.openalex.org/works?filter=title.search:Internationalization%20and%20firm%20performance,publication_year:2007&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalization+and+firm+performance+2007,,,
S133,"Lin, Liu & Cheng",2011,doi_mismatch_check,10.1007/s40821-024-00276-5,10.1007/s40821-024-00276-5,Internationalization and individual firm performance: a resource-based view,Antonio Arbelo,Internationalization and individual firm performance: A resource-based view,"https://openalex.org/works?filter=default.search:Internationalization%20and%20individual%20firm%20performance:%20A%20resource-based%20view,publication_year:2011","https://api.openalex.org/works?filter=title.search:Internationalization%20and%20individual%20firm%20performance%3A%20A%20resource-based%20view,publication_year:2011&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalization+and+individual+firm+performance%3A+A+resource-based+view+2011,,,
S135,Guo et al.,2020,doi_mismatch_check,10.1007/s10668-026-07324-2,10.1007/s10668-026-07324-2,Internationalization channels and firm financial performance among Asia-Pacific Corporations. Does ESG integration in business matter?,Waleed Hussain,Internationalization channels and firm financial performance: The moderating role of ESG initiatives,"https://openalex.org/works?filter=default.search:Internationalization%20channels%20and%20firm%20financial%20performance:%20The%20moderating%20role%20of%20ESG%20initiatives,publication_year:2020","https://api.openalex.org/works?filter=title.search:Internationalization%20channels%20and%20firm%20financial%20performance%3A%20The%20moderating%20role%20of%20ESG%20initiatives,publication_year:2020&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalization+channels+and+firm+financial+performance%3A+The+moderating+role+of+ESG+initiatives+2020,,,
S136,"Hitt, Hoskisson & Kim",1997,doi_mismatch_check,10.2478/foli-2025-0014,10.2478/foli-2025-0014,Human Development and Corruption: Analysing Relationships and Management Opportunities Using the OODA Loop,Olena Stryzhak,Internationalisation and the financial performance of Asian food companies,"https://openalex.org/works?filter=default.search:Internationalisation%20and%20the%20financial%20performance%20of%20Asian%20food%20companies,publication_year:1997","https://api.openalex.org/works?filter=title.search:Internationalisation%20and%20the%20financial%20performance%20of%20Asian%20food%20companies,publication_year:1997&mailto=huongdt@vlute.edu.vn",https://scholar.google.com/scholar?q=Internationalisation+and+the+financial+performance+of+Asian+food+companies+1997,,,
S02,Grant,1987,author_year_guess,,,Parry and Grant Encyclopaedic Dictionary of International Law,J.P. Grant,,"https://openalex.org/works?filter=default.search:grant,publication_year:1987",https://api.openalex.org/works?search=grant&filter=publication_year:1987&mailto=huongdt@vlute.edu.vn,https://scholar.google.com/scholar?q=grant+1987,,,
S05,Tallman & Li,1996,author_year_guess,,10.2307/40157567,Timing of Breeding by Antbirds (Formicariidae) in an Aseasonal Environment in Amazonian Ecuador,Dan A. Tallman,,"https://openalex.org/works?filter=default.search:tallman,publication_year:1996",https://api.openalex.org/works?search=tallman&filter=publication_year:1996&mailto=huongdt@vlute.edu.vn,https://scholar.google.com/scholar?q=tallman+1996,,,
S06,Hitt et al.,1997,author_year_guess,,10.5465/amr.1998.533223,"Twenty-First-Century Organizations: Business Firms, Business Schools, and the Academy",Michael A. Hitt,,"https://openalex.org/works?filter=default.search:hitt,publication_year:1997",https://api.openalex.org/works?search=hitt&filter=publication_year:1997&mailto=huongdt@vlute.edu.vn,https://scholar.google.com/scholar?q=hitt+1997,,,
S07,Wan,1998,author_year_guess,,,Tidally Induced Upwelling in a Semi-Enclosed Basin: Nan Wan Bay,Hung‐Jen Lee,,"https://openalex.org/works?filter=default.search:wan,publication_year:1998",https://api.openalex.org/works?search=wan&filter=publication_year:1998&mailto=huongdt@vlute.edu.vn,https://scholar.google.com/scholar?q=wan+1998,,,
